,Subnet IP,Starting Host IP,Last Host IP,Broadcast IP,Subnet Mask
0,192.168.1.0,192.168.1.1,192.168.1.6,192.168.1.7,255.255.255.248
1,192.168.1.8,192.168.1.9,192.168.1.14,192.168.1.15,255.255.255.248
2,192.168.1.16,192.168.1.17,192.168.1.22,192.168.1.23,255.255.255.248
3,192.168.1.24,192.168.1.25,192.168.1.30,192.168.1.31,255.255.255.248
4,192.168.1.32,192.168.1.33,192.168.1.38,192.168.1.39,255.255.255.248
5,192.168.1.40,192.168.1.41,192.168.1.46,192.168.1.47,255.255.255.248
6,192.168.1.48,192.168.1.49,192.168.1.54,192.168.1.55,255.255.255.248
7,192.168.1.56,192.168.1.57,192.168.1.62,192.168.1.63,255.255.255.248
8,192.168.1.64,192.168.1.65,192.168.1.70,192.168.1.71,255.255.255.248
9,192.168.1.72,192.168.1.73,192.168.1.78,192.168.1.79,255.255.255.248
10,192.168.1.80,192.168.1.81,192.168.1.86,192.168.1.87,255.255.255.248
11,192.168.1.88,192.168.1.89,192.168.1.94,192.168.1.95,255.255.255.248
12,192.168.1.96,192.168.1.97,192.168.1.102,192.168.1.103,255.255.255.248
13,192.168.1.104,192.168.1.105,192.168.1.110,192.168.1.111,255.255.255.248
14,192.168.1.112,192.168.1.113,192.168.1.118,192.168.1.119,255.255.255.248
15,192.168.1.120,192.168.1.121,192.168.1.126,192.168.1.127,255.255.255.248
16,192.168.1.128,192.168.1.129,192.168.1.134,192.168.1.135,255.255.255.248
17,192.168.1.136,192.168.1.137,192.168.1.142,192.168.1.143,255.255.255.248
18,192.168.1.144,192.168.1.145,192.168.1.150,192.168.1.151,255.255.255.248
19,192.168.1.152,192.168.1.153,192.168.1.158,192.168.1.159,255.255.255.248
20,192.168.1.160,192.168.1.161,192.168.1.166,192.168.1.167,255.255.255.248
21,192.168.1.168,192.168.1.169,192.168.1.174,192.168.1.175,255.255.255.248
22,192.168.1.176,192.168.1.177,192.168.1.182,192.168.1.183,255.255.255.248
23,192.168.1.184,192.168.1.185,192.168.1.190,192.168.1.191,255.255.255.248
24,192.168.1.192,192.168.1.193,192.168.1.198,192.168.1.199,255.255.255.248
25,192.168.1.200,192.168.1.201,192.168.1.206,192.168.1.207,255.255.255.248
26,192.168.1.208,192.168.1.209,192.168.1.214,192.168.1.215,255.255.255.248
27,192.168.1.216,192.168.1.217,192.168.1.222,192.168.1.223,255.255.255.248
28,192.168.1.224,192.168.1.225,192.168.1.230,192.168.1.231,255.255.255.248
29,192.168.1.232,192.168.1.233,192.168.1.238,192.168.1.239,255.255.255.248
30,192.168.1.240,192.168.1.241,192.168.1.246,192.168.1.247,255.255.255.248
31,192.168.1.248,192.168.1.249,192.168.1.254,192.168.1.255,255.255.255.248
